Location,Data_Value,Sample_Size
Alabama,19.2,"6,347"
Alaska,19.1,"2,698"
Arizona,14,"7,758"
Arkansas,22.7,"5,177"
California,11.2,"11,118"
Colorado,14.5,"8,188"
Connecticut,12.2,"10,276"
Delaware,16.5,"5,011"
District of Columbia,13.8,"4,137"
Florida,14.5,"14,589"
Georgia,16.1,"8,783"
Guam,21.9,"1,561"
Hawaii,13.4,"7,566"
Idaho,14.7,"3,594"
Illinois,15.5,"5,128"
Indiana,21.1,"7,269"
Iowa,16.6,"8,842"
Kansas,17.2,"10,377"
Kentucky,23.4,"8,306"
Louisiana,20.5,"4,853"
Maine,17.8,"10,693"
Maryland,12.5,"16,872"
Massachusetts,13.4,"6,471"
Michigan,18.9,"9,953"
Minnesota,15.1,"16,545"
Mississippi,20.5,"5,674"
Missouri,19.4,"6,100"
Montana,18,"5,076"
Nebraska,16,"14,140"
Nevada,15.7,"3,128"
New Hampshire,15.6,"5,558"
New Jersey,13.1,"2,943"
New Mexico,15.2,"6,484"
New York,12.8,"33,879"
North Carolina,17.4,"4,564"
North Dakota,19.1,"5,481"
Ohio,20.5,"12,405"
Oklahoma,19.7,"5,060"
Oregon,15.6,"5,674"
Pennsylvania,17,"5,954"
Puerto Rico,10,"4,791"
Rhode Island,14.6,"5,387"
South Carolina,18,"10,517"
South Dakota,19,"6,913"
Tennessee,20.7,"4,909"
Texas,14.4,"10,697"
Utah,9,"10,331"
Vermont,13.7,"6,363"
Virginia,14.9,"10,004"
Washington,12,"12,522"
West Virginia,25.2,"4,810"
Wisconsin,16.4,"4,779"
Wyoming,18.8,"4,365"
